,CONCEPTO,2017,2018,2019,2020,2021,2022
0,Total de establecimientos,75,75,71,49,49,49
1,Hoteles,9,8,7,12,12,12
2,Villas turísticas,11,10,4,8,8,8
3,Otros establecimientos,55,57,60,29,29,29
4,Total de habitaciones,1 269,1 233,1 276,1 263,1 268,1 181
5,Hoteles,385,400,665,772,776,669
6,Villas turísticas,136,143,93,187,203,223
7,Otros establecimientos,748,690,518,304,289,289
8,Total de plazas,2 988,2 915,1 666,2 744,2 913,2 913
9,Hoteles,821,851,1 238,1 532,1 517,1 517
10,Villas turísticas,348,364,222,497,537,537
11,Otros establecimientos,1 819,1 700,206,715,859,859
